instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity,min_degree,mean_degree,max_degree
150,189,529,222,171.0,143.0,0.8362573099415205,False,0.41965973534971646,2,2.3492064476013184,4
151,450,1250,525,413.0,359.0,0.8692493946731235,False,0.42,2,2.3333332538604736,4
152,157,441,184,144.0,125.0,0.8680555555555556,False,0.41723356009070295,2,2.34394907951355,5
153,49,141,59,44.0,40.0,0.9090909090909091,False,0.41843971631205673,2,2.40816330909729,4
154,13,37,15,13.0,13.0,1.0,True,0.40540540540540543,2,2.307692289352417,3
155,100,279,119,96.0,80.0,0.8333333333333334,False,0.4265232974910394,2,2.380000114440918,4
156,216,599,253,196.0,168.0,0.8571428571428571,False,0.42237061769616024,2,2.342592477798462,5
157,99,276,115,88.0,79.0,0.8977272727272727,False,0.4166666666666667,2,2.323232412338257,3
158,62,174,72,55.0,50.0,0.9090909090909091,False,0.41379310344827586,2,2.322580575942993,4
159,363,1003,428,329.0,289.0,0.878419452887538,False,0.4267198404785643,2,2.358126640319824,4
160,478,1322,571,442.0,384.0,0.8687782805429864,False,0.4319213313161876,2,2.3891212940216064,5
161,70,196,81,66.0,58.0,0.8787878787878788,False,0.413265306122449,2,2.3142857551574707,4
162,18,50,21,17.0,15.0,0.8823529411764706,False,0.42,2,2.3333332538604736,3
163,88,244,102,77.0,67.0,0.8701298701298701,False,0.4180327868852459,2,2.3181817531585693,4
164,467,1282,549,429.0,377.0,0.8787878787878788,False,0.4282371294851794,2,2.35117769241333,5
165,434,1205,506,395.0,336.0,0.850632911392405,False,0.4199170124481328,2,2.3317971229553223,5
166,62,168,73,57.0,50.0,0.8771929824561403,False,0.43452380952380953,2,2.3548386096954346,4
167,162,450,191,145.0,128.0,0.8827586206896552,False,0.42444444444444446,2,2.3580245971679688,4
168,473,1310,559,437.0,384.0,0.8787185354691075,False,0.4267175572519084,2,2.3636362552642822,5
169,57,158,68,51.0,44.0,0.8627450980392157,False,0.43037974683544306,2,2.385964870452881,4
170,87,237,100,80.0,69.0,0.8625,False,0.4219409282700422,2,2.2988505363464355,4
171,532,1470,627,488.0,421.0,0.8627049180327869,False,0.42653061224489797,2,2.357142925262451,5
172,550,1527,653,506.0,445.0,0.8794466403162056,False,0.42763588736083824,2,2.3745453357696533,5
173,176,484,208,158.0,137.0,0.8670886075949367,False,0.4297520661157025,2,2.3636362552642822,4
174,108,297,125,97.0,89.0,0.9175257731958762,False,0.4208754208754209,2,2.314814805984497,3
175,379,1040,445,352.0,309.0,0.8778409090909091,False,0.42788461538461536,2,2.348284959793091,4
176,120,329,139,110.0,96.0,0.8727272727272727,False,0.42249240121580545,2,2.316666603088379,4
177,546,1507,637,492.0,440.0,0.8943089430894309,False,0.42269409422694093,2,2.3333332538604736,5
178,136,378,159,124.0,106.0,0.8548387096774194,False,0.42063492063492064,2,2.338235378265381,4
179,32,93,37,28.0,21.0,0.75,False,0.3978494623655914,2,2.3125,4
180,39,108,45,34.0,31.0,0.9117647058823529,False,0.4166666666666667,2,2.307692289352417,4
181,488,1349,583,445.0,388.0,0.8719101123595505,False,0.43217197924388434,2,2.3893442153930664,4
182,360,1005,422,322.0,275.0,0.8540372670807453,False,0.4199004975124378,2,2.344444513320923,4
183,219,605,259,196.0,172.0,0.8775510204081632,False,0.428099173553719,2,2.3652968406677246,4
184,281,779,333,258.0,227.0,0.8798449612403101,False,0.4274711168164313,2,2.3701066970825195,5
185,373,1044,432,345.0,300.0,0.8695652173913043,False,0.41379310344827586,2,2.3163537979125977,4
186,411,1130,487,378.0,322.0,0.8518518518518519,False,0.43097345132743364,2,2.3698296546936035,4
187,206,565,245,187.0,166.0,0.8877005347593583,False,0.4336283185840708,2,2.37864089012146,5
188,4,6,5,4.0,4.0,1.0,True,0.8333333333333334,2,2.5,3
189,273,745,311,247.0,226.0,0.9149797570850202,False,0.4174496644295302,2,2.278388261795044,4
190,17,48,20,15.0,11.0,0.7333333333333333,False,0.4166666666666667,2,2.3529412746429443,4
191,213,583,252,200.0,179.0,0.895,False,0.4322469982847341,2,2.366197109222412,4
192,410,1127,480,374.0,325.0,0.8689839572192514,False,0.4259094942324756,2,2.341463327407837,5
193,43,122,49,39.0,33.0,0.8461538461538461,False,0.4016393442622951,2,2.279069662094116,3
194,95,261,114,86.0,75.0,0.872093023255814,False,0.4367816091954023,2,2.4000000953674316,4
195,187,519,216,165.0,147.0,0.8909090909090909,False,0.4161849710982659,2,2.3101603984832764,4
196,17,49,21,16.0,15.0,0.9375,False,0.42857142857142855,2,2.470588207244873,3
197,304,850,356,279.0,238.0,0.8530465949820788,False,0.4188235294117647,2,2.3421051502227783,4
198,3,3,3,3.0,3.0,1.0,True,1.0,2,2.0,2
199,71,196,82,66.0,56.0,0.8484848484848485,False,0.41836734693877553,2,2.309859037399292,4
200,277,769,321,259.0,228.0,0.8803088803088803,False,0.4174252275682705,2,2.3176894187927246,4
201,167,467,192,156.0,133.0,0.8525641025641025,False,0.41113490364025695,2,2.29940128326416,4
202,160,448,187,145.0,130.0,0.896551724137931,False,0.4174107142857143,2,2.3375000953674316,5
203,98,277,120,85.0,78.0,0.9176470588235294,False,0.4332129963898917,2,2.448979616165161,4
204,364,1014,432,331.0,289.0,0.8731117824773413,False,0.4260355029585799,2,2.373626470565796,4
205,299,832,350,275.0,239.0,0.8690909090909091,False,0.4206730769230769,2,2.341137170791626,4
206,432,1197,504,394.0,342.0,0.868020304568528,False,0.42105263157894735,2,2.3333332538604736,5
207,123,346,146,112.0,102.0,0.9107142857142857,False,0.42196531791907516,2,2.37398362159729,4
208,358,985,419,327.0,286.0,0.8746177370030581,False,0.42538071065989846,2,2.3407821655273438,5
209,446,1234,522,413.0,346.0,0.837772397094431,False,0.42301458670988656,2,2.3408071994781494,5
210,242,667,284,225.0,195.0,0.8666666666666667,False,0.4257871064467766,2,2.347107410430908,5
211,68,191,80,64.0,53.0,0.828125,False,0.418848167539267,2,2.3529412746429443,5
212,312,866,367,290.0,246.0,0.8482758620689655,False,0.4237875288683603,2,2.3525640964508057,5
213,25,70,29,24.0,20.0,0.8333333333333334,False,0.4142857142857143,2,2.319999933242798,4
214,119,330,142,108.0,92.0,0.8518518518518519,False,0.4303030303030303,2,2.386554718017578,4
215,50,138,59,45.0,42.0,0.9333333333333333,False,0.427536231884058,2,2.359999895095825,4
216,148,404,178,135.0,117.0,0.8666666666666667,False,0.4405940594059406,2,2.4054055213928223,5
217,247,691,293,224.0,192.0,0.8571428571428571,False,0.4240231548480463,2,2.372469663619995,5
218,292,804,343,267.0,235.0,0.8801498127340824,False,0.42661691542288555,2,2.3493151664733887,4
219,296,826,351,265.0,233.0,0.879245283018868,False,0.42493946731234866,2,2.371621608734131,4
220,85,234,99,79.0,68.0,0.8607594936708861,False,0.4230769230769231,2,2.329411745071411,5
221,497,1384,589,454.0,393.0,0.8656387665198237,False,0.42557803468208094,2,2.3702213764190674,4
222,124,344,143,114.0,100.0,0.8771929824561403,False,0.41569767441860467,2,2.3064515590667725,4
223,353,980,412,326.0,288.0,0.8834355828220859,False,0.4204081632653061,2,2.334277629852295,4
